date, value
6/7/2018,65.95
6/8/2018,65.74
6/11/2018,66.1
6/12/2018,66.36
6/13/2018,66.64
6/14/2018,66.89
6/15/2018,65.018
6/18/2018,65.786
6/19/2018,64.968
6/20/2018,65.812
6/21/2018,65.54
6/22/2018,68.58
6/25/2018,68.08
6/26/2018,70.53
6/27/2018,72.76
6/28/2018,73.45
6/29/2018,74.15
7/2/2018,73.94
7/3/2018,74.14
7/5/2018,72.94
7/6/2018,73.8
7/9/2018,73.85
7/10/2018,74.11
7/11/2018,70.38
7/12/2018,70.33
7/13/2018,71.01
7/16/2018,68.06
7/17/2018,67.896
7/18/2018,68.356
7/19/2018,68.728
7/20/2018,68.7
7/23/2018,67.89
7/24/2018,68.52
7/25/2018,69.3
7/26/2018,69.61
7/27/2018,68.69
7/30/2018,70.13
7/31/2018,68.76
8/1/2018,67.66
8/2/2018,68.96
8/3/2018,68.49
8/6/2018,69.01
8/7/2018,69.17
8/8/2018,66.94
8/9/2018,66.81
8/10/2018,67.63
8/13/2018,67.2
8/14/2018,67.04
8/15/2018,65.01
8/16/2018,65.344
8/17/2018,65.63
8/20/2018,65.824
8/21/2018,66.142
8/22/2018,67.86
8/23/2018,67.83
8/24/2018,68.72
8/27/2018,68.87
8/28/2018,68.53
8/29/2018,69.51
8/30/2018,70.25
8/31/2018,69.8
9/4/2018,69.87
9/5/2018,68.72
9/6/2018,67.77
9/7/2018,67.75
9/10/2018,67.54
9/11/2018,69.25
9/12/2018,70.37
9/13/2018,68.59
9/14/2018,68.99
9/17/2018,68.864
9/18/2018,69.746
9/19/2018,70.91
9/20/2018,70.416
9/21/2018,70.78
9/24/2018,72.08
9/25/2018,72.28
9/26/2018,71.57
9/27/2018,72.12
9/28/2018,73.25
10/1/2018,75.3
10/2/2018,75.23
10/3/2018,76.41
10/4/2018,74.33
10/5/2018,74.34
10/8/2018,74.29
10/9/2018,74.96
10/10/2018,73.17
10/11/2018,70.97
10/12/2018,71.34
10/15/2018,71.78
10/16/2018,71.92
10/17/2018,69.74
10/18/2018,68.674
10/19/2018,69.216
10/22/2018,69.322
10/23/2018,66.43
10/24/2018,66.82
10/25/2018,67.33
10/26/2018,67.59
10/29/2018,67.04
10/30/2018,66.18
10/31/2018,65.31
11/1/2018,63.69
11/2/2018,63.14
11/5/2018,63.1
11/6/2018,62.21
11/7/2018,61.67
11/8/2018,60.67
11/9/2018,60.19
11/12/2018,59.93
11/13/2018,55.69
11/14/2018,56.288
11/15/2018,56.548
11/16/2018,56.592
11/19/2018,57.112
11/20/2018,53.43
11/21/2018,54.63
11/23/2018,50.42
11/26/2018,51.63
11/27/2018,51.56
11/28/2018,50.29
11/29/2018,51.45
11/30/2018,50.93
12/3/2018,52.95
12/4/2018,53.25
12/5/2018,52.89
12/6/2018,51.49
12/7/2018,52.61
12/10/2018,51
12/11/2018,51.65
12/12/2018,51.15
12/13/2018,52.58
12/14/2018,51.254
12/17/2018,50.008
12/18/2018,46.456
12/19/2018,47.976
12/20/2018,45.88
12/21/2018,45.59
12/24/2018,42.53
12/26/2018,46.22
12/27/2018,44.61
12/28/2018,45.33
12/31/2018,45.41
1/2/2019,46.54
1/3/2019,47.09
1/4/2019,47.96
1/7/2019,48.52
1/8/2019,49.78
1/9/2019,52.36
1/10/2019,52.59
1/11/2019,51.59
1/14/2019,50.51
1/15/2019,52.11
1/16/2019,52.37
1/17/2019,52.186
1/18/2019,53.944
1/22/2019,52.922
1/23/2019,52.62
1/24/2019,53.13
1/25/2019,53.69
1/28/2019,51.99
1/29/2019,53.31
1/30/2019,54.23
1/31/2019,53.79
2/1/2019,55.26
2/4/2019,54.56
2/5/2019,53.66
2/6/2019,54.01
2/7/2019,52.64
2/8/2019,52.72
2/11/2019,52.41
2/12/2019,53.1
2/13/2019,53.9
2/14/2019,54.486
2/15/2019,55.746
2/19/2019,56.306
2/20/2019,57.112
2/21/2019,56.96
2/22/2019,57.26
2/25/2019,55.48
2/26/2019,55.5
2/27/2019,56.94
2/28/2019,57.22
3/1/2019,55.8
3/4/2019,56.59
3/5/2019,56.56
3/6/2019,56.22
3/7/2019,56.66
3/8/2019,56.07
3/11/2019,56.79
3/12/2019,56.87
3/13/2019,58.26
3/14/2019,58.61
3/15/2019,58.58
3/18/2019,59.206
3/19/2019,59.186
3/20/2019,60.15
3/21/2019,59.98
3/22/2019,59.04
3/25/2019,58.82
3/26/2019,59.94
3/27/2019,59.41
3/28/2019,59.3
3/29/2019,60.14
4/1/2019,61.59
4/2/2019,62.58
4/3/2019,62.46
4/4/2019,62.1
4/5/2019,63.08
4/8/2019,64.4
4/9/2019,63.98
4/10/2019,64.61
4/11/2019,63.58
4/12/2019,63.89
4/15/2019,63.4
4/16/2019,64.078
4/17/2019,63.804
4/18/2019,64.042
4/22/2019,65.58
4/23/2019,66.3
4/24/2019,65.89
4/25/2019,65.21
4/26/2019,63.3
4/29/2019,63.5
4/30/2019,63.91
5/1/2019,63.6
5/2/2019,61.81
5/3/2019,61.94
5/6/2019,62.25
5/7/2019,61.4
5/8/2019,62.12
5/9/2019,61.7
5/10/2019,61.66
5/13/2019,61.04
5/14/2019,61.78
5/15/2019,62.02
5/16/2019,62.908
5/17/2019,62.824
5/20/2019,63.166
5/21/2019,63.102
5/22/2019,61.42
5/23/2019,57.91
5/24/2019,58.63
5/28/2019,59.14
5/29/2019,58.81
5/30/2019,56.59
5/31/2019,53.5
6/3/2019,53.25
6/4/2019,53.48
6/5/2019,51.68
6/6/2019,52.59
6/7/2019,53.99
6/10/2019,53.26
6/11/2019,53.27
6/12/2019,51.14
6/13/2019,52.28
6/14/2019,52.51
6/17/2019,51.978
6/18/2019,53.984
6/19/2019,53.886
6/20/2019,56.986
6/21/2019,57.43
6/24/2019,57.9
6/25/2019,57.83
6/26/2019,59.38
6/27/2019,59.43
6/28/2019,58.47
7/1/2019,59.09
7/2/2019,56.25
7/3/2019,57.34
7/5/2019,57.51
7/8/2019,57.66
7/9/2019,57.83
7/10/2019,60.43
7/11/2019,60.2
7/12/2019,60.21
7/15/2019,59.58
7/16/2019,57.62
7/17/2019,56.808
7/18/2019,55.348
7/19/2019,55.708
7/22/2019,56.22
7/23/2019,56.77
7/24/2019,55.88
7/25/2019,56.02
7/26/2019,56.2
7/29/2019,56.87
7/30/2019,58.05
7/31/2019,58.58
8/1/2019,53.95
8/2/2019,55.66
8/5/2019,54.69
8/6/2019,53.63
8/7/2019,51.09
8/8/2019,52.54
8/9/2019,54.5
8/12/2019,54.93
8/13/2019,57.1
8/14/2019,55.23
8/15/2019,54.46
8/16/2019,54.846
8/19/2019,56.168
8/20/2019,56.172
8/21/2019,55.68
8/22/2019,55.35
8/23/2019,54.17
8/26/2019,53.64
8/27/2019,54.93
8/28/2019,55.78
8/29/2019,56.71
8/30/2019,55.1
9/3/2019,53.94
9/4/2019,56.26
9/5/2019,56.3
9/6/2019,56.52
9/9/2019,57.85
9/10/2019,57.4
9/11/2019,55.75
9/12/2019,55.09
9/13/2019,54.85
9/16/2019,62.9
9/17/2019,59.292
9/18/2019,58.082
9/19/2019,58.166
9/20/2019,58.09
9/23/2019,58.64
9/24/2019,57.29
9/25/2019,56.49
9/26/2019,56.41
9/27/2019,55.91
9/30/2019,54.07
10/1/2019,53.62
10/2/2019,52.64
10/3/2019,52.45
10/4/2019,52.81
10/7/2019,52.75
10/8/2019,52.63
10/9/2019,52.59
10/10/2019,53.55
10/11/2019,54.7
10/14/2019,53.59
10/15/2019,52.81
10/16/2019,53.36
10/17/2019,53.95
10/18/2019,53.816
10/21/2019,53.43
10/22/2019,54.416
10/23/2019,55.97
10/24/2019,56.23
10/25/2019,56.66
10/28/2019,55.81
10/29/2019,55.54
10/30/2019,55.06
10/31/2019,54.18
11/1/2019,56.2
11/4/2019,56.54
11/5/2019,57.23
11/6/2019,56.35
11/7/2019,57.15
11/8/2019,57.24
11/11/2019,56.86
11/12/2019,56.8
11/13/2019,57.12
11/14/2019,56.77
11/15/2019,57.742
11/18/2019,57.086
11/19/2019,55.294
11/20/2019,57.03
11/21/2019,58.58
11/22/2019,57.77
11/25/2019,58.01
11/26/2019,58.41
11/27/2019,58.11
11/29/2019,55.17
12/2/2019,55.96
12/3/2019,56.1
12/4/2019,58.43
12/5/2019,58.43
12/6/2019,59.2
12/9/2019,59.02
12/10/2019,59.24
12/11/2019,58.76
12/12/2019,59.18
12/13/2019,60.07
12/16/2019,60.196
12/17/2019,60.912
12/18/2019,60.882
12/19/2019,61.188
12/20/2019,60.44
12/23/2019,60.52
12/24/2019,61.11
12/26/2019,61.68
12/27/2019,61.72
12/30/2019,61.68
12/31/2019,61.06
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
